batch_id,timestamp,n_assignments,n_customers,n_agents,avg_csat,std_csat,avg_aht,std_aht,sla_met_rate,avg_skill_match,min_csat,max_csat,assignments_voice,assignments_chat,assignments_email,gini_coefficient
0,2025-11-04T07:45:54.413321,30,59,30,0.2697695367101074,0.23270209062444758,7.886127688900275,3.6328392696964777,0.3,0.3717613428436456,0.0,0.9276110426493753,15.0,10.0,5.0,0.06666666666666665
1,2025-11-04T07:45:54.437611,15,43,30,0.29417912326242945,0.21436473824572821,7.231688943673136,3.214882057578599,0.3333333333333333,0.36281171217349,0.025473215567699097,0.7360009977822715,2.0,9.0,4.0,0.06190476190476191
2,2025-11-04T07:45:54.462140,14,45,30,0.35846887805200517,0.2359585446570776,7.706497251403181,4.806428538773175,0.42857142857142855,0.39955148089135306,0.05125729055359701,0.7981701663266951,1.0,8.0,5.0,0.08646616541353391
3,2025-11-04T07:45:54.487925,12,45,30,0.40327156443439566,0.2431935836985607,6.269058061138331,4.163863054448166,0.6666666666666666,0.4799307797035666,0.009972095379685922,0.8299575020582802,,4.0,8.0,0.050000000000000044
4,2025-11-04T07:45:54.511800,12,51,30,0.3032529478516806,0.2538572774944132,6.558862710926372,1.9155926361434423,0.6666666666666666,0.3181041376658669,0.0,0.8167490093783669,2.0,2.0,8.0,0.2151162790697676
5,2025-11-04T07:45:54.544965,7,58,30,0.3158063421401465,0.1673367063695426,8.025502963130197,3.832541764199347,0.42857142857142855,0.28020794106874963,0.07651954361921627,0.6445955037740251,1.0,3.0,3.0,0.3142857142857143
6,2025-11-04T07:45:54.575206,5,51,30,0.318373739384962,0.11773307625878678,9.236896490169364,2.4291826997402275,0.4,0.3507917906828723,0.21218802624954397,0.5090104762559475,1.0,2.0,2.0,0.21333333333333337
7,2025-11-04T07:45:54.597583,4,37,30,0.16378996498038462,0.24592953405888293,12.754672408685112,7.864102040309112,0.25,0.25461403904859314,0.0,0.5870184895240833,1.0,2.0,1.0,0.3500000000000001
8,2025-11-04T07:45:54.625860,4,46,30,0.18461117858882287,0.1579695095388393,10.662942886247428,5.754531559623136,0.5,0.2429328812288121,0.00810603366259241,0.4404997463753889,1.0,1.0,2.0,0.3125
9,2025-11-04T07:45:54.653745,5,48,30,0.3514426034930745,0.233280266036185,10.315703262437555,8.203807969357381,0.2,0.3229390744163291,0.04074819861255517,0.6451895339906427,1.0,3.0,1.0,0.2153846153846155
