batch_id,timestamp,n_assignments,n_customers,n_agents,avg_csat,std_csat,avg_aht,std_aht,sla_met_rate,avg_skill_match,min_csat,max_csat,assignments_voice,assignments_chat,assignments_email,gini_coefficient
0,2025-11-04T07:45:58.893859,30,70,30,0.5716865555811452,0.22621371388427677,5.7895185829098965,2.6074528793956495,0.4,0.6637148370731009,0.11419322070515645,1.0,16.0,7.0,7.0,0.0
1,2025-11-04T07:45:58.922418,14,47,30,0.48944696275173116,0.2532765810493341,5.527840647148614,2.442689963228192,0.42857142857142855,0.6058136061071187,0.1348692257666664,1.0,,9.0,5.0,0.03439153439153442
2,2025-11-04T07:45:58.946975,17,42,30,0.539437523181058,0.2442507540013755,5.191775203079459,2.284613263354802,0.47058823529411764,0.6502659957752028,0.13751442760733792,1.0,2.0,10.0,5.0,0.15126050420168058
3,2025-11-04T07:45:58.979456,16,55,30,0.5356300635930753,0.2593109030221619,5.307963594700416,2.5831558390347698,0.75,0.6314793370309644,0.016951697610837396,0.9415883679747867,1.0,6.0,9.0,0.12268518518518512
4,2025-11-04T07:45:59.005790,11,42,30,0.5139022860460526,0.2276591529174278,6.781826702238044,2.7629683058461625,0.45454545454545453,0.5408456119113505,0.22609646001604114,0.9983358048423052,1.0,5.0,5.0,0.15289256198347112
5,2025-11-04T07:45:59.039872,4,53,30,0.4960898052273467,0.2564650961401116,9.927326298354565,9.413670672707198,0.5,0.5097902226895716,0.07220128612260991,0.7465289297367027,1.0,1.0,2.0,0.20833333333333326
6,2025-11-04T07:45:59.074135,2,52,30,0.3064897464431533,0.18085259521890926,7.472238933156366,1.1802643526169847,1.0,0.14420279041082604,0.12563715122424407,0.4873423416620626,,,2.0,0.05555555555555558
7,2025-11-04T07:45:59.111349,3,58,30,0.20668699775953295,0.03377819522924057,8.014174173510352,2.059510310379944,0.6666666666666666,0.3749744952825897,0.17974054301995038,0.254319647579693,,1.0,2.0,0.5333333333333334
8,2025-11-04T07:45:59.138821,9,44,30,0.4246881191498929,0.2581804249833036,6.626013090298425,3.208516460615662,0.3333333333333333,0.5826039255506478,0.0,0.7577489648758933,3.0,4.0,2.0,0.3961352657004831
9,2025-11-04T07:45:59.166942,8,45,30,0.4840241200497013,0.25271977640751303,6.247357334214412,2.9037856847233394,0.5,0.6962744547426296,0.08755065251442701,0.8438322962539649,1.0,3.0,4.0,0.32291666666666674
10,2025-11-04T07:45:59.199246,6,52,30,0.48092983230090197,0.31050013021757383,10.298888908005164,2.743209052274016,0.3333333333333333,0.48108642707980614,0.07858736094914517,1.0,2.0,2.0,2.0,0.26190476190476186
11,2025-11-04T07:45:59.241403,6,67,30,0.5331550015808991,0.22819221699785208,7.635971740418871,2.9873964100600583,0.6666666666666666,0.6852358667211274,0.15317812390611238,0.7657683316890032,,2.0,4.0,0.06060606060606055
12,2025-11-04T07:45:59.274521,5,50,30,0.36106842030724273,0.2540239225410169,7.410580399613162,4.027888583372572,0.6,0.582236961354665,0.024747702546615312,0.7480798262214687,,2.0,3.0,0.11111111111111116
13,2025-11-04T07:45:59.304690,6,48,30,0.35090943017439863,0.32489695189016476,7.206354922620249,1.8206742350329803,0.6666666666666666,0.43643971574010515,0.0,0.950415860102084,,2.0,4.0,0.0512820512820511
14,2025-11-04T07:45:59.336486,6,53,30,0.5120615335234837,0.17205542112799146,4.825617794793245,1.6603833263942607,0.3333333333333333,0.6940227152991431,0.17050351332720656,0.6845382609580353,1.0,3.0,2.0,0.25
15,2025-11-04T07:45:59.364296,9,48,30,0.3886884371331321,0.23259533146434527,6.664181086091766,3.119925019564515,0.4444444444444444,0.5714078930548651,0.019128302130619366,0.6800065790502061,,5.0,4.0,0.2685185185185184
16,2025-11-04T07:45:59.392227,9,47,30,0.3953411649144197,0.18808576457978415,8.127081263670059,4.0474316979733915,0.4444444444444444,0.5317419428586987,0.04769374289975466,0.709714269821608,1.0,4.0,4.0,0.2666666666666666
17,2025-11-04T07:45:59.426595,8,58,30,0.3994805155465419,0.19144432923429203,7.0405242078434975,2.83544192671378,0.5,0.47533307549823556,0.0782350366739916,0.6533651547769169,,5.0,3.0,0.1064814814814814
18,2025-11-04T07:45:59.459257,4,52,30,0.40661991869736624,0.08085709457382625,7.320680115104446,1.8398745752554115,0.75,0.46966579063902586,0.27043303410316416,0.4824781450058604,,1.0,3.0,0.0714285714285714
